,Name,Period,Diet,Country,UE
0,Aardonyx,Jurassic,herbivore,South Africa,no info
1,Abelisaurus,Cretaceous       ,carnivore,South America,no info
2,Abrictosaurus,Jurassic,herbivore,South Africa,no info
3,Abrosaurus,Jurassic,herbivore,China,no info
4,Abydosaurus,Cretaceous,herbivore,North America,no info
5,Acanthopholis,Cretaceous,herbivore,England,no info
6,Achelousaurus,Cretaceous,herbivore,North America,no info
7,Acheroraptor,Cretaceous,carnivore,North America,no info
8,Achillesaurus,Cretaceous,carnivore,South America,no info
9,Achillobator,Cretaceous,carnivore,Mongolia,no info
10,Acristavus,Cretaceous,herbivore,North America,no info
11,Acrocanthosaurus,Cretaceous,carnivore,North America,no info
12,Acrotholus,Cretaceous,herbivore,North America,no info
13,Adamantisaurus,Cretaceous,herbivore,South America,no info
14,Adasaurus,Cretaceous,carnivore,Mongolia,no info
15,Adeopapposaurus,Jurassic,herbivore,South America,no info
16,Adratiklit,Jurassic,herbivore,Morocco,no info
17,Adynomosaurus,Cretaceous,herbivore,Spain,no info
18,Aegyptosaurus,Cretaceous,herbivore,"Egypt, Niger",no info
19,Aeolosaurus,Cretaceous,herbivore,South America,no info
20,Aepisaurus,Cretaceous,herbivore,France,no info
21,Aerosteon,Cretaceous,carnivore,South America,no info
22,Aetonyx,Jurassic,herbivore,"South Africa, Lesotho, Zimbabwe",no info
23,Afrovenator,Jurassic,carnivore,Niger,no info
24,Agathaumas,Cretaceous,herbivore,North America,no info
25,Agilisaurus,Jurassic,herbivore,China,no info
26,Agrosaurus,Triassic,herbivore,England,no info
27,Agujaceratops,Cretaceous,herbivore,North America,no info
28,Agustinia,Cretaceous,herbivore,South America,no info
29,Ahshislepelta,Cretaceous,herbivore,North America,no info
30,Airakoraptor,Cretaceous,carnivore,Mongolia,no info
31,Ajkaceratops,Cretaceous,herbivore,Hungary,no info
32,Akainacephalus,Cretaceous,herbivore,North America,no info
33,Alamosaurus,Cretaceous,herbivore,North America,no info
34,Alaskacephale,Cretaceous,herbivore,North America,no info
35,Albalophosaurus,Cretaceous,herbivore,Japan,no info
36,Albertaceratops,Cretaceous,herbivore,North America,no info
37,Albertadromeus,Cretaceous,herbivore,North America,no info
38,Albertonykus,Cretaceous,carnivore/insectivore,North America,no info
39,Albertosaurus,Cretaceous,carnivore,North America,no info
40,Albinykus,Cretaceous,carnivore,Mongolia,no info
41,Alcovasaurus,Jurassic,herbivore,North America,no info
42,Alectrosaurus,Cretaceous,carnivore,Mongolia,no info
43,Aletopelta,Cretaceous,herbivore,North America,no info
44,Algoasaurus,Jurassic/Cretaceous,herbivore,South Africa,no info
45,Alioramus,Cretaceous,carnivore,Mongolia (& China?),no info
46,Allosaurus,Jurassic,carnivore,North America,no info
47,Allosaurus,Jurassic,carnivore,"Tanzania, USA, & Portugal",no info
